#Digilent WaveForms Oscilloscope XY
#Device Name: Discovery2NI
#Serial Number: SN:210321AD1230
#Date Time: 2021-10-15 02:27:55.944

Channel 2 (V),Channel 1 (V)
0.8586904549189348,5.005957033004082
0.8747859379101451,4.998434309775104
0.8922512492410248,4.998434309775104
0.9090316464020667,4.998434309775104
0.9264969577329617,4.994672948160616
0.9446471832336961,4.990911586546126
0.9624549516494951,4.9984343097751
0.9788928917256254,4.998434309775104
0.9960157459716013,4.998434309775104
1.015878256896916,5.002195671389591
1.031288825718282,5.005957033004078
1.048754137049176,4.998434309775107
1.068274190889588,5.002195671389592
1.085397045135549,5.002195671389592
1.102862356466444,5.002195671389592
1.122039953221929,4.998434309775104
1.139162807467889,4.998434309775104
1.157313032968615,5.005957033004078
1.175805715554261,5.002195671389594
1.194640855224835,4.994672948160614
1.211763709470795,4.998434309775102
1.23094130622627,5.002195671389589
1.249433988811933,4.994672948160614
1.266214385972975,4.998434309775102
1.286419353983216,4.994672948160616
1.305254493653782,4.998434309775102
1.321349976645001,4.990911586546126
1.340185116315557,4.994672948160613
1.361417455580547,4.994672948160614
1.37717048148685,4.994672948160614
1.39771790658202,4.990911586546126
1.417237960422415,4.990911586546126
1.434360814668384,4.990911586546126
1.453195954338957,4.987150224931638
1.472716008179352,4.98338886331715
1.491551147849909,4.983388863317148
1.509701373350645,4.975866140088174
1.529563884275976,4.964582055244704
1.548741481031452,4.960820693630216
1.566549249447268,4.953297970401238
1.586754217457511,4.938252523943282
1.606616728382825,4.92696843909982
1.623397125543875,4.908161631027379
1.643602093554117,4.893116184569422
1.663807061564369,4.874309376496971
1.68058745872541,4.840457121966586
1.701134883820561,4.810366229050688
1.721339851830822,4.765229889676794
1.73880516316171,4.716332188688439
1.758667674087024,4.659911764471132
1.779215099182186,4.58844589379585
1.796680410513083,4.520741384735018
1.815858007268559,4.430468705987326
1.836405432363711,4.340196027239633
1.854898114949367,4.227355178804938
1.874760625874699,4.103230245526754
1.894965593884933,3.964059865790729
1.914485647725337,3.806082677982205
1.931608501971314,3.65186685178809
1.951813469981548,3.452514686220271
1.9723608950767,3.23811707419451
1.98948374932268,3.042526270240982
2.010373631502769,2.794276403684628
2.029893685343164,2.523458367441553
2.046674082504222,2.286492585728632
2.066536593429545,1.974299571726056
2.087426475609617,1.635777026422212
2.104891786940506,1.338629458877572
2.124411840780909,0.9963455519591062
2.145301722960999,0.6540616450404639
2.163109491376799,0.4359026714002089
2.181602173962435,0.3230618229655465
2.202149599057605,0.2591186755191621
2.222012109982938,0.2139823361452664
2.239477421313818,0.1876528048438564
2.259682389324059,0.1613232735424343
2.279887357334311,0.1425164654699782
2.297352668665191,0.1312323806265166
2.317900093760342,0.1199482957830554
2.338447518855514,0.1086642109395835
2.355227916016572,0.1011414877106005
2.375090426941886,0.08985740286713931
2.395980309121977,0.08985740286713417
2.412418249198106,0.08233467963815633
2.431595845953582,0.08233467963815633
2.451800813963824,0.07105059479469469
2.469608582379633,0.07105059479468956
2.489471093304964,0.06728923318020108
2.510018518400117,0.06728923318020108
2.52679891556116,0.06352787156571557
2.545291598146821,0.06352787156571216
2.565839023241983,0.06728923318020108
2.58467416291254,0.06352787156571386
2.601797017158509,0.05976650995122494
2.622001985168759,0.05976650995122323
2.641179581924235,0.05600514833673602
2.658302436170197,0.05600514833673431
2.678849861265365,0.05600514833673431
2.698027458020859,0.05600514833673431
2.713438026842224,0.05976650995122153
2.733642994852464,0.05976650995122323
2.754190419947635,0.05976650995122323
2.769943445853919,0.05976650995122323
2.788778585524474,0.05600514833673773
2.807956182279967,0.05600514833673431
2.825421493610864,0.05600514833673431
2.843229262026663,0.05976650995122153
2.862406858782156,0.05976650995122323
2.880557084282882,0.05976650995122323
2.896995024359004,0.05976650995122323
2.917542449454164,0.05976650995122323
2.934665303700134,0.05600514833673602
2.951445700861191,0.05224378672224539
2.970965754701586,0.0560051483367326
2.990143351457063,0.05976650995121981
3.004869006108613,0.05600514833673431
3.023704145779178,0.05600514833673431
3.042539285449735,0.05976650995122153
3.057607397186189,0.05976650995122323
3.076442536856761,0.06352787156571216
3.095277676527317,0.06352787156571216
3.110345788263764,0.06352787156571216
3.127811099594658,0.05976650995122494
3.146303782180312,0.06352787156571216
3.162399265171515,0.06352787156571216
3.17952211941749,0.05976650995122323
3.197329887833297,0.05976650995122323
3.214795199164177,0.05600514833673602
3.229863310900623,0.05600514833673431
3.247671079316437,0.05976650995122153
3.26650621898701,0.05976650995122323
3.279862045298859,0.05600514833673602
3.297669813714672,0.05976650995122323
3.315477582130479,0.05600514833673431
3.329518322612167,0.05976650995122153
3.347668548112891,0.05976650995122323
3.365476316528699,0.05976650995122323
3.378147228670723,0.05976650995122323
3.395612540001603,0.05600514833673602
3.413420308417402,0.05600514833673431
3.427118591814187,0.05600514833673431
3.441844246465726,0.05976650995122323
3.459652014881525,0.06352787156571045
3.474377669533059,0.06352787156571216
3.489445781269518,0.06728923318020108
3.505541264260721,0.05976650995122666
3.520609375997167,0.05600514833673773
3.534992573563787,0.05976650995122153
3.552115427809762,0.05976650995122323
3.567183539546208,0.05600514833673602
3.579854451688231,0.05976650995122323
3.596292391764361,0.06352787156571216
3.611702960585725,0.05976650995122494
3.624031415642824,0.05976650995122323
3.639784441549113,0.05224378672224881
3.65622238162525,0.05600514833673431
3.668208379597423,0.06352787156570874
3.6836189484188,0.06352787156571216
3.699371974325091,0.05976650995122323
3.712042886467107,0.05976650995122323
3.725741169863876,0.06352787156571045
3.740809281600327,0.06352787156571216
3.75382265082727,0.05976650995122323
3.7668360200542,0.05976650995122323
3.782589045960483,0.05976650995122323
3.795602415187427,0.06352787156571045
3.803136471055659,0.06728923318020108
3.804506299395336,0.06352787156571386
3.804506299395336,0.06352787156571216
3.804506299395336,0.06352787156571216
3.804506299395336,0.06352787156571216
3.804506299395336,0.07105059479468272
3.804506299395336,0.06728923318020279
3.804506299395336,0.06352787156571216
3.804506299395336,0.06728923318019937
3.804506299395336,0.06728923318020108
3.804506299395336,0.06352787156571216
3.804506299395336,0.05976650995122494
3.804506299395336,0.05600514833673602
3.804506299395336,0.05600514833673431
3.804506299395336,0.05600514833673431
3.804506299395336,0.05976650995122153
3.804506299395336,0.06352787156570874
3.804506299395336,0.06352787156571216
3.804506299395336,0.06352787156571216
3.804506299395336,0.06352787156571216
3.804506299395336,0.06352787156571216
3.804506299395336,0.06728923318020108
3.804506299395336,0.06352787156571386
3.804506299395336,0.05976650995122666
3.804506299395336,0.05976650995122323
3.804506299395336,0.06352787156571216
3.804506299395336,0.05600514833673773
3.804506299395336,0.05976650995122323
3.804506299395336,0.05976650995122323
3.804506299395336,0.06728923318019767
3.804506299395336,0.06352787156571557
3.804506299395336,0.06352787156571216
3.804506299395336,0.05976650995122323
3.804506299395336,0.05976650995122323
3.804506299395336,0.05976650995122323
3.804506299395336,0.05976650995122323
3.804506299395336,0.06352787156571045
3.804506299395336,0.05976650995122494
3.804506299395336,0.05976650995122323
3.804506299395336,0.05976650995122323
3.804506299395336,0.05976650995122323
3.804506299395336,0.06728923318019424
3.804506299395336,0.06352787156571386
3.804506299395336,0.06352787156571216
3.804506299395336,0.05600514833673773
3.804506299395336,0.05600514833673431
3.804506299395336,0.05976650995122323
3.804506299395336,0.05600514833673602
3.804506299395336,0.05976650995121981
3.804506299395336,0.05976650995122323
3.804506299395336,0.06352787156571216
3.804506299395336,0.05976650995122494
3.804506299395336,0.05976650995122323
3.804506299395336,0.05600514833673431
3.804506299395336,0.05976650995122153
3.804506299395336,0.06352787156571045
3.804506299395336,0.05976650995122494
3.804506299395336,0.05976650995122323
3.804506299395336,0.05600514833673602
3.804506299395336,0.05600514833673431
3.804506299395336,0.05976650995122323
3.804506299395336,0.05976650995122323
3.804506299395336,0.05600514833673602
3.804506299395336,0.05976650995122153
3.804506299395336,0.05976650995122323
3.804506299395336,0.05976650995122323
3.804506299395336,0.05976650995122323
3.804506299395336,0.05224378672224881
3.804506299395336,0.05224378672224539
3.804506299395336,0.05976650995121981
3.804506299395336,0.05600514833673602
3.804506299395336,0.05224378672224539
3.804506299395336,0.0560051483367326
3.804506299395336,0.05600514833673431
3.804506299395336,0.0522437867222471
3.804506299395336,0.05600514833673431
3.804506299395336,0.05976650995122153
3.804506299395336,0.05600514833673431
3.804506299395336,0.05600514833673431
3.804506299395336,0.05600514833673431
3.804506299395336,0.05976650995122153
3.804506299395336,0.05600514833673602
3.804506299395336,0.05600514833673431
3.804506299395336,0.05600514833673431
3.804506299395336,0.05600514833673431
3.804506299395336,0.05976650995122153
3.804506299395336,0.05976650995122323
3.804506299395336,0.05600514833673602
3.804506299395336,0.05600514833673431
3.804506299395336,0.05600514833673431
3.804506299395336,0.05600514833673431
3.804506299395336,0.05600514833673431
3.804506299395336,0.05600514833673431
3.804506299395336,0.05600514833673431
3.804506299395336,0.05600514833673431
3.804506299395336,0.05600514833673431
3.804506299395336,0.05600514833673431
3.804506299395336,0.05600514833673431
3.804506299395336,0.06352787156570532
3.804506299395336,0.05976650995122494
3.804506299395336,0.05224378672224539
3.804506299395336,0.0560051483367326
3.804506299395336,0.05600514833673431
3.804506299395336,0.05976650995122323
3.804506299395336,0.05600514833673602
3.804506299395336,0.05600514833673431
3.804506299395336,0.06352787156570874
3.804506299395336,0.06352787156571216
3.804506299395336,0.06352787156571216
3.804506299395336,0.05976650995122666
3.804506299395336,0.05976650995122323
3.804506299395336,0.05600514833673431
3.804506299395336,0.05976650995122153
3.804506299395336,0.05600514833673602
3.804506299395336,0.05600514833673431
3.804506299395336,0.05600514833673431
3.804506299395336,0.05224378672224881
3.804506299395336,0.05976650995121981
3.804506299395336,0.05600514833673431
3.804506299395336,0.05600514833673431
3.804506299395336,0.06352787156571216
3.804506299395336,0.05976650995122323
3.804506299395336,0.05976650995122323
3.804506299395336,0.05976650995122323
3.804506299395336,0.05976650995122323
3.804506299395336,0.05600514833673431
3.804506299395336,0.05976650995122153
3.804506299395336,0.05976650995122323
3.804506299395336,0.05976650995122323
3.804506299395336,0.05976650995122323
3.804506299395336,0.05600514833673602
3.804506299395336,0.06352787156570874
3.804506299395336,0.06352787156571216
3.804506299395336,0.05976650995122494
3.804506299395336,0.06352787156570874
3.804506299395336,0.05976650995122494
3.804506299395336,0.05600514833673431
3.804506299395336,0.05600514833673431
3.804506299395336,0.05600514833673431
3.804506299395336,0.05976650995122323
3.804506299395336,0.05976650995122323
3.804506299395336,0.05976650995122323
3.804506299395336,0.05976650995122323
3.804506299395336,0.05976650995122323
3.804506299395336,0.06352787156571045
3.804506299395336,0.05976650995122323
3.804506299395336,0.05224378672224539
3.804506299395336,0.06728923318019424
3.804506299395336,0.06352787156571386
3.804506299395336,0.05976650995122494
3.804506299395336,0.05600514833673431
3.804506299395336,0.06352787156570874
3.804506299395336,0.06728923318019767
3.804506299395336,0.05976650995122666
3.804506299395336,0.05600514833673431
3.804506299395336,0.05976650995122153
3.804506299395336,0.05976650995122323
3.804506299395336,0.06352787156571216
3.804506299395336,0.06352787156571216
3.804506299395336,0.06728923318019767
3.804506299395336,0.06352787156571386
3.804506299395336,0.05976650995122323
3.804506299395336,0.06352787156571045
3.804506299395336,0.06352787156571216
3.804506299395336,0.05976650995122323
3.804506299395336,0.05976650995122323
3.804506299395336,0.06352787156571045
3.804506299395336,0.05976650995122494
3.804506299395336,0.06352787156571216
3.804506299395336,0.06728923318019937
3.804506299395336,0.05976650995122323
3.804506299395336,0.05976650995122323
3.804506299395336,0.05976650995122323
3.804506299395336,0.06728923318019767
3.804506299395336,0.06728923318020108
3.804506299395336,0.06352787156571216
3.804506299395336,0.05976650995122494
3.804506299395336,0.06352787156570874
3.804506299395336,0.06728923318019937
3.804506299395336,0.06352787156571216
3.804506299395336,0.06728923318019937
3.804506299395336,0.06728923318020108
3.804506299395336,0.06352787156571216
3.804506299395336,0.05976650995122494
3.804506299395336,0.05976650995122323
3.804506299395336,0.06352787156571045
3.804506299395336,0.06352787156571216
3.804506299395336,0.05976650995122494
3.804506299395336,0.06352787156571216
3.804506299395336,0.06728923318020108
3.804506299395336,0.07105059479468785
3.804506299395336,0.06728923318020279
3.804506299395336,0.06352787156571386
3.804506299395336,0.06352787156571216
3.804506299395336,0.06728923318019937
3.80279401397074,0.06728923318020108
3.7914929301684,0.06728923318020108
3.778137103856545,0.06728923318020108
3.763068992120099,0.06728923318020108
3.750055622893163,0.06728923318020108
3.736699796581302,0.06728923318020108
3.722316599014695,0.06352787156571386
3.70724848727825,0.06352787156571216
3.693892660966387,0.06352787156571216
3.679509463399767,0.05976650995122323
3.664783808748241,0.06352787156571045
3.65074306826654,0.06728923318020108
3.634990042360249,0.06352787156571216
3.620949301878561,0.06728923318019937
3.605881190142117,0.06728923318020108
3.591497992575496,0.06728923318020108
3.575744966669199,0.06728923318020108
3.559991940762915,0.06352787156571386
3.545951200281214,0.06352787156571216
3.530198174374923,0.06728923318020108
3.515130062638477,0.06728923318020108
3.500061950902025,0.06728923318020108
3.484651382080654,0.06728923318020108
3.468555899089437,0.07105059479468956
3.452802873183153,0.07481195640917677
3.43670739019195,0.06728923318020792
3.419926993030894,0.07105059479468785
3.405201338379353,0.07481195640917848
3.388763398303231,0.07481195640917848
3.371983001142183,0.07105059479469127
3.356572432320803,0.07481195640917848
3.3404769493296,0.07481195640917848
3.322326723828883,0.07857331802366399
3.306573697922583,0.0785733180236674
3.290135757846446,0.07481195640917848
3.272670446515566,0.07105059479469127
3.255890049354509,0.07481195640917848
3.240137023448218,0.0785733180236674
3.222671712117338,0.0785733180236674
3.204863943701532,0.0785733180236674
3.189453374880159,0.08233467963815462
3.171645606464345,0.0785733180236674
3.153495380963627,0.0785733180236674
3.137399897972408,0.0785733180236674
3.118907215386762,0.07481195640917848
3.101441904055874,0.07481195640917848
3.084661506894833,0.07481195640917848
3.066511281394107,0.08233467963815291
3.049388427148131,0.08609604125264525
3.032608029987089,0.08233467963815803
3.014115347401452,0.07857331802367082
2.995280207730878,0.08233467963815462
2.978157353484902,0.08609604125264525
2.960349585069103,0.08985740286713247
2.941514445398538,0.08233467963815974
2.923364219897803,0.08233467963815633
2.905213994397085,0.08609604125264354
2.887063768896367,0.08985740286713076
2.869256000480551,0.08985740286713417
2.852818060404413,0.08609604125264525
2.833298006564018,0.09361876448161968
2.813777952723605,0.0936187644816231
